,College,Credits,Instructor,CourseSubject,ClassID,SectionNumber,CourseName,Cost,TimeOfCourse,CourseBuilding,CourseRoom,ClassDays,Dates,WeeksInSemester,Semester,Year,Location,Website,UncgID,UncgTitle
16,Alamance Community College,1.0,"W. Shirley, K. Chappell",ACA,122,46E (7577),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
17,Alamance Community College,1.0,R. Lane,ACA,122,47H (7578),College Transfer Success,$76,11:15AM - 12:10PM, Room to be Announced (more)...,TBA,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
18,Alamance Community College,1.0,D. Sigmon,ACA,122,48H (7579),College Transfer Success,$76,12:40PM - 01:35PM, Room to be Announced (more)...,TBA,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
19,Alamance Community College,1.0,C. Holmes,ACA,122,51E (7580),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,03/09/2021-05/11/2021,9,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
20,Alamance Community College,3.0,M. Everett,CJC,160,01W (7548),Terrorism: Underlying Issu,$228,06:00PM - 09:00PM, Graham Main Bldg, 00365,Monday,01/11/2021-05/03/2021,16,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
21,Alamance Community College,3.0,B. Woody,CJC,212,02H (7546),Ethics & Comm Relations,$228,08:00AM - 09:20AM, Graham Main Bldg, 00251 ,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
22,Alamance Community College,3.0,R. Collins,CJC,212,03H (7547),Ethics & Comm Relations,$228,11:15AM - 12:10PM, Graham Main Bldg, 00251 ,"Monday, Wednesday",01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
23,Alamance Community College,3.0,R. Ellis,CJC,212,51E (7544),Ethics & Comm Relations,$228,No time given,Online,Online,Days to be Announced,03/09/2021-05/11/2021,9,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
24,Alamance Community College,3.0,To be Announced,CJC,214,01H (7549),Victimology,$228,09:05AM - 10:00AM, Room to be Announced (more)...,TBA,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
25,Alamance Community College,3.0,R. Ellis,CJC,214,41E (7550),Victimology,$228,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
26,Alamance Community College,4.0,T. Holt,CJC,221,01W (7551),Investigative Principles,$304,12:50PM - 01:30PM, Graham Main Bldg, 00365 ,"Tuesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
27,Alamance Community College,3.0,B. Woody,CJC,231,03H (7554),Constitutional Law,$228,12:50PM - 02:10PM, Room to be Announced (more)...,TBA,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
28,Alamance Community College,3.0,M. Williams,CJC,231,04H (7555),Constitutional Law,$228,09:05AM - 10:00AM, Room to be Announced (more)...,TBA,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
29,Alamance Community College,3.0,R. Ellis,CJC,231,51E (7552),Constitutional Law,$228,No time given,Online,Online,Days to be Announced,03/09/2021-05/11/2021,9,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
30,Alamance Community College,3.0,R. Collins,CJC,245,41H (7499),Friction Ridge Analysis,$228,09:30AM - 11:30AM, Graham Main Bldg, 00365 ,"Tuesday, Thursday",01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
31,Alamance Community College,3.0,R. Collins,CJC,246,51H (7500),Adv. Friction Ridge Analy,$228,09:30AM - 11:30AM, Graham Main Bldg, 00365 ,"Tuesday, Thursday",03/09/2021-05/11/2021,9,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
32,Alamance Community College,3.0,D. Elderkin,COM,110,01E (7087),Introduction to Communication,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES (3)
33,Alamance Community College,3.0,D. Sargent,COM,120,01E (7089),Intro Interpersonal Com,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 207,RELATIONAL COMMUNICATION
34,Alamance Community College,3.0,D. Sargent,COM,120,02E (7090),Intro Interpersonal Com,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 207,RELATIONAL COMMUNICATION
35,Alamance Community College,3.0,E. Williams,COM,231,01E (7091),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
36,Alamance Community College,3.0,To be Announced,COM,231,02EZ (7092),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
37,Alamance Community College,3.0,D. Elderkin,COM,231,03E (7093),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
38,Alamance Community College,3.0,D. Sargent,COM,231,04EL (7094),Public Speaking,$228,08:00AM - 08:55AM,Online,Online,"Monday, Wednesday, Friday",01/11/2021-05/07/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
39,Alamance Community College,3.0,To be Announced,COM,231,05E (7095),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
40,Alamance Community College,3.0,D. Elderkin,COM,231,06E (7096),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
41,Alamance Community College,3.0,D. Elderkin,COM,231,07E (7097),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
42,Alamance Community College,3.0,D. Elderkin,COM,231,08E (7098),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
43,Alamance Community College,3.0,W. Walters,COM,231,09E (7099),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
44,Alamance Community College,3.0,W. Walters,COM,231,10E (7100),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
45,Alamance Community College,3.0,D. Sargent,COM,231,11EL (7101),Public Speaking,$228,10:10AM - 11:05AM,Online,Online,"Monday, Wednesday, Friday",01/11/2021-05/07/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
46,Alamance Community College,3.0,D. Sargent,COM,231,12EZ (7102),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
47,Alamance Community College,3.0,D. Sargent,COM,231,13EZ (7103),Public Speaking,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
48,Alamance Community College,3.0,To be Announced,COM,231,81E (7104),Public Speaking,$228,No time given,Online,Online,Days to be Announced,02/09/2011-05/11/2021,535,Spring,2021,Online,https://www.alamancecc.edu/,CST 105,INTRODUCTION TO COMMUNICATION STUDIES
49,Alamance Community College,4.0,R. Servie,COS,111,61H (8202),Cosmetology Concepts I,$304,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
50,Alamance Community College,2.0,C. White,COS,111BB,63HY (7842),Cosmetology Concepts I,$152,03:00PM - 05:00PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
51,Alamance Community College,8.0,R. Servie,COS,112,61H (8203),Salon I,$608,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
52,Alamance Community College,4.0,O. Williams,COS,112BB,63HY (7843),Salon I,$304,03:00PM - 07:00PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
53,Alamance Community College,4.0,H. Cook,COS,113,61H (7603),Cosmetology Concepts II,$304,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
54,Alamance Community College,4.0,K. Rivers,COS,113,62H (7604),Cosmetology Concepts II,$304,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
55,Alamance Community College,2.0,C. White,COS,113AB,63HY (7847),Cosmetology Concepts II,$152,05:30PM - 07:30PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
56,Alamance Community College,2.0,O. Williams,COS,113BB,63HY (7845),Cosmetology Concepts II,$152,03:00PM - 05:00PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
57,Alamance Community College,8.0,H. Cook,COS,114,61H (7605),Salon II,$608,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
58,Alamance Community College,8.0,K. Rivers,COS,114,62H (7607),Salon II,$608,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
59,Alamance Community College,4.0,O. Williams,COS,114AB,63HY (7848),Salon II,$304,05:30PM - 09:30PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
60,Alamance Community College,4.0,O. Williams,COS,114BB,63HY (7846),Salon II,$304,03:00PM - 07:00PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
61,Alamance Community College,2.0,H. Laws,COS,117,61H (7608),Cosmetology Concepts IV,$152,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
62,Alamance Community College,7.0,H. Laws,COS,118,61H (7610),Salon IV,$532,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
63,Alamance Community College,2.0,C. White,COS,119,61H (7612),Esthetics Concepts I,$152,08:15AM - 10:15AM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
64,Alamance Community College,6.0,"C. White, H. Laws",COS,120,61H (7613),Esthetics Salon I,$456,08:15AM - 02:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
65,Alamance Community College,2.0,C. White,COS,125,61H (7614),Esthetics Concepts II,$152,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
66,Alamance Community College,6.0,H. Laws,COS,126,61H (7615),Esthetics Salon II,$456,08:15AM - 02:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
67,Alamance Community College,1.0,O. Williams,COS,224BB,63HY (7844),Trichology & Chemistry,$76,05:00PM - 07:00PM, Dillingham Center, 155 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Burlington Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
68,Alamance Community College,3.0,L. Gaines,CSC,151,01E (6947),JAVA Programming,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,CSC 130,INTRODUCTION TO COMPUTER SCIENCE
69,Alamance Community College,3.0,B. Jones,CTI,110,01E (6948),"Web, Pgm, & Db Foundation",$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
70,Alamance Community College,3.0,B. Jones,CTI,110,02E (6949),"Web, Pgm, & Db Foundation",$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
71,Alamance Community College,3.0,B. Jones,CTI,120,01E (6950),Network & Sec Foundation,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
72,Alamance Community College,3.0,M. Dunklebarger,CTS,115,01E (7836),Info Sys Business Concepts,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,ISM 000,INFORMATION SYSTEMS ELECTIVE
73,Alamance Community College,3.0,S. Ellinwood,CTS,120,01E (7837),Hardware/Software Support,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
74,Alamance Community College,3.0,V. Whitley,CTS,130,01E (6951),Spreadsheet,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
75,Alamance Community College,3.0,S. Ellinwood,CTS,220,01H (7838),Adv Hard/Software Support,$228,08:00AM - 10:00AM, A Wing, A312 ,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
76,Alamance Community College,3.0,B. Jones,CTS,289,01E (6954),System Support Project,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
77,Alamance Community College,2.0,T. Wanless,CUL,110,01E (7326),Sanitation & Safety,$152,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
78,Alamance Community College,2.0,T. Wanless,CUL,135,01H (7330),Food & Beverage Service,$152,01:25PM - 02:30PM, A Wing, A238 ,Wednesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
79,Alamance Community College,3.0,B. Bailey,CUL,160,01H (7328),Baking I,$228,08:00AM - 08:55AM, A Wing, A336 ,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
80,Alamance Community College,3.0,B. Bailey,CUL,160,02H (7329),Baking I,$228,08:00AM - 08:55AM, A Wing, A336 ,Wednesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
81,Alamance Community College,5.0,"B. Bailey, J. Mitchell",CUL,230,01H (7331),Global Cuisines,$380,08:00AM - 10:00AM, A Wing, A238 ,Monday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
82,Alamance Community College,5.0,T. Wanless,CUL,240,01H (7333),Culinary Skills II,$380,08:00AM - 10:00AM,Online,Online,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
83,Alamance Community College,5.0,T. Wanless,CUL,240,02H (7334),Culinary Skills II,$380,01:25PM - 03:25PM,Online,Online,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
84,Alamance Community College,3.0,T. Wanless,CUL,270,01H (7332),Garde Manger II,$228,08:00AM - 08:55AM, A Wing, A238 ,Friday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
85,Alamance Community College,3.0,L. Gaines,DBA,110,01E (6955),Database Concepts,$228,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
86,Alamance Community College,4.0,J. Adkins,DDF,212,01H (7808),Design Process II,$304,08:00AM - 08:55AM,Online,Online,"Tuesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
87,Alamance Community College,2.0,"D. Pruitt, K. Hussey",DEN,102BB,51W (7761),Dental Materials,$152,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,03/09/2021-05/11/2021,9,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
88,Alamance Community College,2.0,"D. Pruitt, K. Hussey",DEN,102BB,52W (7762),Dental Materials,$152,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,03/09/2021-05/11/2021,9,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
89,Alamance Community College,2.0,R. Foster,DEN,103,01E (7763),Dental Sciences,$152,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
90,Alamance Community College,2.0,J. Christopher,DEN,103,02E (7764),Dental Sciences,$152,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
91,Alamance Community College,3.0,To be Announced,DEN,104,41H (7765),Dental Health Education,$228,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Monday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
92,Alamance Community College,3.0,To be Announced,DEN,104,42H (7766),Dental Health Education,$228,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Monday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
93,Alamance Community College,3.0,To be Announced,DEN,104,43H (7767),Dental Health Education,$228,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Monday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
94,Alamance Community College,2.0,B. Patterson,DEN,105,01W (7769),Practice Management,$152,05:30PM - 07:30PM, H Bldg, 240,Monday,01/11/2021-05/03/2021,16,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
95,Alamance Community College,2.0,D. Pruitt,DEN,105,51H (7768),Practice Management,$152,08:30AM - 10:30AM, H Bldg, 240 ,Monday,03/09/2021-05/11/2021,9,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
96,Alamance Community College,6.0,J. Roberts,DEN,106,01H (7770),Clinical Practice I,$456,10:40AM - 12:40PM, Graham Main Bldg, 00326 ,Friday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
97,Alamance Community College,6.0,J. Christopher,DEN,106,02H (7771),Clinical Practice I,$456,05:00PM - 07:00PM, Graham Main Bldg, 00326 ,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
98,Alamance Community College,3.0,"B. Patterson, J. Christopher",DEN,112,01W (7772),Dental Radiography,$228,05:30PM - 07:30PM, Graham Main Bldg, 00326 ,Tuesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
99,Alamance Community College,1.5,"J. Roberts, D. Pruitt, K. Hussey",DEN,112BB,41W (7773),Dental Radiography,$114,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
100,Alamance Community College,1.5,"J. Roberts, D. Pruitt, K. Hussey",DEN,112BB,42W (7774),Dental Radiography,$114,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
101,Alamance Community College,1.5,"J. Roberts, D. Pruitt, K. Hussey",DEN,112BB,43W (7775),Dental Radiography,$114,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,01/11/2021-03/08/2021,8,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
102,Alamance Community College,2.0,J. Bussell,DFT,112,01H (7367),Technical Drafting II,$152,08:00AM - 08:55AM,Online,Online,Monday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
103,Alamance Community College,1.0,J. Bussell,DFT,112A,01H (7368),Technical Drafting II Lab,$76,09:05AM - 12:10PM, A Wing, A312 ,Wednesday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
104,Alamance Community College,3.0,D. Grant,DFT,151,01H (7426),CAD I,$228,06:30PM - 07:25PM,Online,Online,"Tuesday, Thursday",01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
