college,section,credits,instructor,dates,location
Alamance Community College,ACA-122-45E (7576) College Transfer Success,1,M. Sherbondy,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-46E (7577) College Transfer Success,1,"W. Shirley, K. Chappell","01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-47H (7578) College Transfer Success,1,R. Lane,"01/11/2021-03/08/2021 Lab/Shop Hours Monday, Wednesday 11:15AM - 12:10PM, Room to be Announced (more)...",Graham Campus
Alamance Community College,ACA-122-48H (7579) College Transfer Success,1,D. Sigmon,"01/11/2021-03/08/2021 Lab/Shop Hours Monday, Wednesday 12:40PM - 01:35PM, Room to be Announced (more)...",Graham Campus
Alamance Community College,ACA-122-51E (7580) College Transfer Success,1,C. Holmes,"03/09/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CJC-160-01W (7548) Terrorism: Underlying Issu,3,M. Everett,"01/11/2021-05/03/2021 Classroom Hours Monday 06:00PM - 09:00PM, Graham Main Bldg, Room 00365",Graham Campus
Alamance Community College,CJC-212-02H (7546) Ethics & Comm Relations,3,B. Woody,"01/11/2021-05/11/2021 Classroom Hours Tuesday 08:00AM - 09:20AM, Graham Main Bldg, Room 00251 (more)...",Graham Campus
Alamance Community College,CJC-212-03H (7547) Ethics & Comm Relations,3,R. Collins,"01/11/2021-05/11/2021 Classroom Hours Monday, Wednesday 11:15AM - 12:10PM, Graham Main Bldg, Room 00251 (more)...",Graham Campus
Alamance Community College,CJC-212-51E (7544) Ethics & Comm Relations,3,R. Ellis,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CJC-214-01H (7549) Victimology,3,To be Announced,"01/11/2021-05/11/2021 Classroom Hours Monday, Wednesday 09:05AM - 10:00AM, Room to be Announced (more)...",Graham Campus
Alamance Community College,CJC-214-41E (7550) Victimology,3,R. Ellis,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CJC-221-01W (7551) Investigative Principles,4,T. Holt,"01/11/2021-05/11/2021 Classroom Hours Tuesday, Thursday 12:50PM - 01:30PM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
Alamance Community College,CJC-231-03H (7554) Constitutional Law,3,B. Woody,"01/11/2021-05/11/2021 Classroom Hours Tuesday 12:50PM - 02:10PM, Room to be Announced (more)...",Graham Campus
Alamance Community College,CJC-231-04H (7555) Constitutional Law,3,M. Williams,"01/11/2021-05/11/2021 Classroom Hours Monday, Wednesday 09:05AM - 10:00AM, Room to be Announced (more)...",Graham Campus
Alamance Community College,CJC-231-51E (7552) Constitutional Law,3,R. Ellis,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CJC-245-41H (7499) Friction Ridge Analysis,3,R. Collins,"01/11/2021-03/08/2021 Classroom Hours Tuesday, Thursday 09:30AM - 11:30AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
Alamance Community College,CJC-246-51H (7500) Adv. Friction Ridge Analy,3,R. Collins,"03/09/2021-05/11/2021 Classroom Hours Tuesday, Thursday 09:30AM - 11:30AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
Alamance Community College,COM-110-01E (7087) Introduction to Communication,3,D. Elderkin,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-120-01E (7089) Intro Interpersonal Com,3,D. Sargent,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-120-02E (7090) Intro Interpersonal Com,3,D. Sargent,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-01E (7091) Public Speaking,3,E. Williams,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-02EZ (7092) Public Speaking,3,To be Announced,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-03E (7093) Public Speaking,3,D. Elderkin,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-04EL (7094) Public Speaking,3,D. Sargent,"01/11/2021-05/07/2021 Online Class Monday, Wednesday, Friday 08:00AM - 08:55AM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-05E (7095) Public Speaking,3,To be Announced,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-06E (7096) Public Speaking,3,D. Elderkin,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-07E (7097) Public Speaking,3,D. Elderkin,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-08E (7098) Public Speaking,3,D. Elderkin,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-09E (7099) Public Speaking,3,W. Walters,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-10E (7100) Public Speaking,3,W. Walters,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-11EL (7101) Public Speaking,3,D. Sargent,"01/11/2021-05/07/2021 Online Class Monday, Wednesday, Friday 10:10AM - 11:05AM, Distance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-12EZ (7102) Public Speaking,3,D. Sargent,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-13EZ (7103) Public Speaking,3,D. Sargent,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COM-231-81E (7104) Public Speaking,3,To be Announced,"02/09/2011-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,COS-111-61H (8202) Cosmetology Concepts I,4,R. Servie,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-111BB-63HY (7842) Cosmetology Concepts I,2,C. White,"01/11/2021-05/11/2021 Classroom Hours Monday 03:00PM - 05:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-112-61H (8203) Salon I,8,R. Servie,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-112BB-63HY (7843) Salon I,4,O. Williams,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 03:00PM - 07:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-113-61H (7603) Cosmetology Concepts II,4,H. Cook,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-113-62H (7604) Cosmetology Concepts II,4,K. Rivers,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-113AB-63HY (7847) Cosmetology Concepts II,2,C. White,"01/11/2021-05/11/2021 Classroom Hours Monday 05:30PM - 07:30PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-113BB-63HY (7845) Cosmetology Concepts II,2,O. Williams,"01/11/2021-05/11/2021 Classroom Hours Monday 03:00PM - 05:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-114-61H (7605) Salon II,8,H. Cook,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-114-62H (7607) Salon II,8,K. Rivers,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-114AB-63HY (7848) Salon II,4,O. Williams,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 05:30PM - 09:30PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-114BB-63HY (7846) Salon II,4,O. Williams,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 03:00PM - 07:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-117-61H (7608) Cosmetology Concepts IV,2,H. Laws,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-118-61H (7610) Salon IV,7,H. Laws,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-119-61H (7612) Esthetics Concepts I,2,C. White,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 10:15AM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-120-61H (7613) Esthetics Salon I,6,"C. White, H. Laws","01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 02:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-125-61H (7614) Esthetics Concepts II,2,C. White,"01/11/2021-05/11/2021 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-126-61H (7615) Esthetics Salon II,6,H. Laws,"01/11/2021-05/11/2021 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 02:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,COS-224BB-63HY (7844) Trichology & Chemistry,1,O. Williams,"01/11/2021-05/11/2021 Lab/Shop Hours Monday 05:00PM - 07:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
Alamance Community College,CSC-151-01E (6947) JAVA Programming,3,L. Gaines,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,"CTI-110-01E (6948) Web, Pgm, & Db Foundation",3,B. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,"CTI-110-02E (6949) Web, Pgm, & Db Foundation",3,B. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,CTI-120-01E (6950) Network & Sec Foundation,3,B. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,CTS-115-01E (7836) Info Sys Business Concepts,3,M. Dunklebarger,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CTS-120-01E (7837) Hardware/Software Support,3,S. Ellinwood,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,CTS-130-01E (6951) Spreadsheet,3,V. Whitley,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,CTS-220-01H (7838) Adv Hard/Software Support,3,S. Ellinwood,"01/11/2021-05/11/2021 Classroom Hours Tuesday 08:00AM - 10:00AM, A Wing, Room A312 (more)...",Graham Campus
Alamance Community College,CTS-289-01E (6954) System Support Project,3,B. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,CUL-110-01E (7326) Sanitation & Safety,2,T. Wanless,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,CUL-135-01H (7330) Food & Beverage Service,2,T. Wanless,"01/11/2021-05/11/2021 Classroom Hours Wednesday 01:25PM - 02:30PM, A Wing, Room A238 (more)...",Graham Campus
Alamance Community College,CUL-160-01H (7328) Baking I,3,B. Bailey,"01/11/2021-05/11/2021 Classroom Hours Tuesday 08:00AM - 08:55AM, A Wing, Room A336 (more)...",Graham Campus
Alamance Community College,CUL-160-02H (7329) Baking I,3,B. Bailey,"01/11/2021-05/11/2021 Classroom Hours Wednesday 08:00AM - 08:55AM, A Wing, Room A336 (more)...",Graham Campus
Alamance Community College,CUL-230-01H (7331) Global Cuisines,5,"B. Bailey, J. Mitchell","01/11/2021-05/11/2021 Classroom Hours Monday 08:00AM - 10:00AM, A Wing, Room A238 (more)...",Graham Campus
Alamance Community College,CUL-240-01H (7333) Culinary Skills II,5,T. Wanless,"01/11/2021-05/11/2021 Classroom Hours Tuesday 08:00AM - 10:00AM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,CUL-240-02H (7334) Culinary Skills II,5,T. Wanless,"01/11/2021-05/11/2021 Classroom Hours Tuesday 01:25PM - 03:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,CUL-270-01H (7332) Garde Manger II,3,T. Wanless,"01/11/2021-05/11/2021 Classroom Hours Friday 08:00AM - 08:55AM, A Wing, Room A238 (more)...",Graham Campus
Alamance Community College,DBA-110-01E (6955) Database Concepts,3,L. Gaines,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,DDF-212-01H (7808) Design Process II,4,J. Adkins,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 08:00AM - 08:55AM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DEN-102BB-51W (7761) Dental Materials,2,"D. Pruitt, K. Hussey","03/09/2021-05/11/2021 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-102BB-52W (7762) Dental Materials,2,"D. Pruitt, K. Hussey","03/09/2021-05/11/2021 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-103-01E (7763) Dental Sciences,2,R. Foster,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,DEN-103-02E (7764) Dental Sciences,2,J. Christopher,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,DEN-104-41H (7765) Dental Health Education,3,To be Announced,"01/11/2021-03/08/2021 Classroom Hours Monday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-104-42H (7766) Dental Health Education,3,To be Announced,"01/11/2021-03/08/2021 Classroom Hours Monday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-104-43H (7767) Dental Health Education,3,To be Announced,"01/11/2021-03/08/2021 Classroom Hours Monday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-105-01W (7769) Practice Management,2,B. Patterson,"01/11/2021-05/03/2021 Classroom Hours Monday 05:30PM - 07:30PM, H Bldg, Room 240",Graham Campus
Alamance Community College,DEN-105-51H (7768) Practice Management,2,D. Pruitt,"03/09/2021-05/11/2021 Classroom Hours Monday 08:30AM - 10:30AM, H Bldg, Room 240 (more)...",Graham Campus
Alamance Community College,DEN-106-01H (7770) Clinical Practice I,6,J. Roberts,"01/11/2021-05/11/2021 Classroom Hours Friday 10:40AM - 12:40PM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-106-02H (7771) Clinical Practice I,6,J. Christopher,"01/11/2021-05/11/2021 Classroom Hours Tuesday 05:00PM - 07:00PM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-112-01W (7772) Dental Radiography,3,"B. Patterson, J. Christopher","01/11/2021-05/11/2021 Classroom Hours Tuesday 05:30PM - 07:30PM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-112BB-41W (7773) Dental Radiography,1.5,"J. Roberts, D. Pruitt, K. Hussey","01/11/2021-03/08/2021 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-112BB-42W (7774) Dental Radiography,1.5,"J. Roberts, D. Pruitt, K. Hussey","01/11/2021-03/08/2021 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DEN-112BB-43W (7775) Dental Radiography,1.5,"J. Roberts, D. Pruitt, K. Hussey","01/11/2021-03/08/2021 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
Alamance Community College,DFT-112-01H (7367) Technical Drafting II,2,J. Bussell,"01/11/2021-05/11/2021 Online Class Monday 08:00AM - 08:55AM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DFT-112A-01H (7368) Technical Drafting II Lab,1,J. Bussell,"01/11/2021-05/11/2021 Lab/Shop Hours Wednesday 09:05AM - 12:10PM, A Wing, Room A312 (more)...",Graham Campus
Alamance Community College,DFT-151-01H (7426) CAD I,3,D. Grant,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 06:30PM - 07:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DFT-152-01H (7427) CAD II,3,J. Bussell,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 09:35AM - 10:30AM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DFT-152-02H (7428) CAD II,3,D. Grant,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 06:30PM - 07:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DFT-154-01EL (8312) Intro Solid Modeling,3,J. Bussell,"01/11/2021-05/11/2021 Online Class Tuesday 06:30PM - 08:30PM, Distance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,DFT-254-01H (7809) Intermed Solid Model/Render,3,J. Bussell,"01/11/2021-05/11/2021 Online Class Tuesday, Thursday 12:20PM - 01:15PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
Alamance Community College,DRA-111-01E (7108) Theatre Appreciation,3,T. Notley,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,DRA-111-81E (7719) Theatre Appreciation,3,T. Notley,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ECO-251-01E (6921) Prin of Microeconomics,3,T. Beveridge,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ECO-251-02E (6922) Prin of Microeconomics,3,T. Beveridge,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ECO-252-01E (6923) Prin of Macroeconomics,3,J. Taunton,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ECO-252-02E (6924) Prin of Macroeconomics,3,J. Taunton,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-119-01H (7501) Intro to Early Child Educ,4,S. Doe,"01/11/2021-05/11/2021 Classroom Hours Tuesday 09:05AM - 11:05AM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-119-02E (7502) Intro to Early Child Educ,4,S. Doe,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,"EDU-131-01E (7503) Child, Family, and Community",3,S. Doe,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-144-41E (7504) Child Development I,3,D. Blankenship,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-145-01H (7505) Child Development II,3,S. Doe,"01/11/2021-05/11/2021 Classroom Hours Tuesday 11:15AM - 12:35PM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-145-51E (7506) Child Development II,3,D. Blankenship,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-146-01E (7507) Child Guidance,3,K. Ketcham,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-151-01H (7508) Creative Activities,3,K. Ketcham,"01/11/2021-05/11/2021 Classroom Hours Wednesday 09:30AM - 10:50AM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-151-02E (7509) Creative Activities,3,To be Announced,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,"EDU-153-01H (7510) Health, Safety and Nutrition",3,J. Jones,"01/11/2021-05/11/2021 Classroom Hours Wednesday 12:40PM - 02:05PM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,"EDU-153-02E (7511) Health, Safety and Nutrition",3,R. Riggins,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-157-01H (7529) Active Play,3,J. Jones,"01/11/2021-05/11/2021 Classroom Hours Friday 09:05AM - 11:05AM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-184-01E (7530) Early Child Intro Pract,2,J. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
Alamance Community College,EDU-216-41E (7531) Foundations of Education,3,J. Jones,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-221-01H (7532) Children With Exceptionalities,3,R. Riggins,"01/11/2021-05/11/2021 Classroom Hours Tuesday 06:00PM - 08:00PM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-221-02E (7533) Children With Exceptionalities,3,S. Doe,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,"EDU-234-01E (7534) Infants, Toddlers, and Twos",3,K. Ketcham,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-250-51E (7535) Teacher Licensure Preparation,3,S. Doe,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-251-01E (7536) Exploration Activities,3,J. Jones,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,EDU-251-02H (7537) Exploration Activities,3,To be Announced,"01/11/2021-05/11/2021 Classroom Hours Wednesday 06:00PM - 08:00PM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
Alamance Community College,EDU-261-41E (7538) Early Childhood Admin I,3,K. Ketcham,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
