Column1,college,section,credits,instructor,dates,location
56,Alamance Community College,COS-112-61H (6734) Salon I,8,R. Servie,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
57,Alamance Community College,COS-112-62H (6735) Salon I,8,A. Scott,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
58,Alamance Community College,COS-112-63H (6859) Salon I,8,T. Williamson,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
59,Alamance Community College,COS-112-64H (6860) Salon I,8,T. Williamson,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
60,Alamance Community College,COS-112AB-63HY (6746) Salon I,4,O. Williams,"08/18/2020-12/10/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 03:00PM - 07:00PM, Dillingham Center, Room 155",Burlington Campus
61,Alamance Community College,COS-112BB-63H (6751) Salon I,4,O. Williams,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 05:30PM - 09:30PM, Dillingham Center, Room 155 (more)...",Burlington Campus
62,Alamance Community College,COS-113AB-63HY (6748) Cosmetology Concepts II,2,O. Williams,"08/17/2020-12/15/2020 Classroom Hours Tuesday, Wednesday, Thursday 03:00PM - 05:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
63,Alamance Community College,COS-114AB-63HY (6749) Salon II,4,O. Williams,"08/17/2020-12/15/2020 Lab/Shop Hours Monday 03:00PM - 07:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
64,Alamance Community College,COS-115-61H (6741) Cosmetology Concepts III,4,H. Cook,"08/17/2020-12/15/2020 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
65,Alamance Community College,COS-115-62H (6742) Cosmetology Concepts III,4,K. Rivers,"08/17/2020-12/15/2020 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
66,Alamance Community College,COS-116-61H (6739) Salon III,4,H. Cook,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
67,Alamance Community College,COS-116-62H (6740) Salon III,4,K. Rivers,"08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 04:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
68,Alamance Community College,COS-119-61H (6736) Esthetics Concepts I,2,C. White,"08/17/2020-12/15/2020 Classroom Hours Monday 08:15AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
69,Alamance Community College,COS-120-61H (6738) Esthetics Salon I,6,"C. White, H. Laws","08/17/2020-12/15/2020 Lab/Shop Hours Tuesday, Wednesday, Thursday 08:15AM - 02:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
70,Alamance Community College,COS-223-61H (6743) Contemp Hair Coloring,2,H. Cook,"08/17/2020-12/15/2020 Classroom Hours Friday 08:15AM - 09:15AM, Dillingham Center, Room 155 (more)...",Burlington Campus
71,Alamance Community College,COS-223-62H (6744) Contemp Hair Coloring,2,K. Rivers,"08/17/2020-12/15/2020 Classroom Hours Friday 08:15AM - 09:15AM, Dillingham Center, Room 155 (more)...",Burlington Campus
72,Alamance Community College,COS-224AB-63HY (6747) Trichology & Chemistry,1,"O. Williams, H. Laws","08/17/2020-12/15/2020 Classroom Hours Monday 05:15PM - 06:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
73,Alamance Community College,COS-224BB-63HY (6752) Trichology & Chemistry,1,O. Williams,"08/17/2020-12/15/2020 Lab/Shop Hours Monday 07:45PM - 09:45PM, Dillingham Center, Room 155 (more)...",Burlington Campus
74,Alamance Community College,CSC-151-01E (5984) JAVA Programming,3,L. Gaines,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
75,Alamance Community College,"CTI-110-01E (5985) Web, Pgm, & Db Foundation",3,B. Jones,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
76,Alamance Community College,"CTI-110-02E (4294) Web, Pgm, & Db Foundation",3,B. Jones,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
77,Alamance Community College,CTI-120-01E (5986) Network & Sec Foundation,3,B. Jones,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
78,Alamance Community College,CTI-120-02E (4296) Network & Sec Foundation,3,B. Jones,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
79,Alamance Community College,CTS-115-01E (4297) Info Sys Business Concepts,3,D. McCusker,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
80,Alamance Community College,CTS-120-01H (4298) Hardware/Software Support,3,S. Ellinwood,"08/17/2020-12/15/2020 Classroom Hours Tuesday 08:00AM - 10:00AM, A Wing, Room A312 (more)...",Graham Campus
81,Alamance Community College,CTS-130-01E (4299) Spreadsheet,3,V. Whitley,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
82,Alamance Community College,CTS-130-02E (6398) Spreadsheet,3,V. Whitley,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
83,Alamance Community College,CTS-285-01E (5990) Systems Analysis & Design,3,D. McCusker,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
84,Alamance Community College,CUL-110-01E (3860) Sanitation & Safety,2,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
85,Alamance Community College,CUL-140-01H (6479) Culinary Skills I,5,B. Bailey,"08/17/2020-12/15/2020 Classroom Hours Tuesday 08:00AM - 10:10AM, A Wing, Room A228 (more)...",Graham Campus
86,Alamance Community College,CUL-140-02H (6480) Culinary Skills I,5,"B. Bailey, J. Mitchell","08/17/2020-12/15/2020 Classroom Hours Tuesday 10:25AM - 12:25PM, A Wing, Room A228 (more)...",Graham Campus
87,Alamance Community College,CUL-140-03H (6481) Culinary Skills I,5,J. Mitchell,"08/17/2020-12/15/2020 Classroom Hours Monday 08:00AM - 10:10AM, A Wing, Room A228 (more)...",Graham Campus
88,Alamance Community College,CUL-150-01H (6482) Food Science,2,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
89,Alamance Community College,CUL-150-02H (6483) Food Science,2,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
90,Alamance Community College,CUL-150-03H (6484) Food Science,2,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
91,Alamance Community College,CUL-170-01H (6485) Garde Manger I,3,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
92,Alamance Community College,CUL-214-01H (6486) Wine Appreciation,2,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
93,Alamance Community College,CUL-280-01H (6487) Pastry & Confections,3,M. Kimber,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
94,Alamance Community College,CUL-280-03H (6489) Pastry & Confections,3,B. Bailey,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
95,Alamance Community College,DBA-110-02E (4302) Database Concepts,3,L. Gaines,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
96,Alamance Community College,DBA-120-01E (5991) Database Programming I,3,L. Gaines,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
97,Alamance Community College,DDF-211-01H (6538) Design Process I,4,J. Adkins,"08/17/2020-12/15/2020 Online Class Monday, Wednesday 08:00AM - 08:30AM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
98,Alamance Community College,DEN-100-41W (5066) Basic Orofacial Anatomy,2,J. Roberts,"08/17/2020-10/12/2020 Classroom Hours Monday, Friday 08:30AM - 10:30AM, Graham Main Bldg, Room 00301",Graham Campus
99,Alamance Community College,DEN-100-42H (5075) Basic Orofacial Anatomy,2,J. Christopher,"08/25/2020-10/12/2020 Classroom Hours Monday 05:00PM - 07:00PM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
100,Alamance Community College,DEN-101-01W (6278) Preclinical Procedures,7,"J. Roberts, D. Pruitt, K. Hussey, J. C (more)","08/17/2020-12/15/2020 Classroom Hours Monday 10:40AM - 02:40PM, Graham Main Bldg, Room 326 (more)...",Graham Campus
101,Alamance Community College,DEN-101-02W (6280) Preclinical Procedures,7,"J. Roberts, D. Pruitt, K. Hussey","08/17/2020-12/15/2020 Classroom Hours Tuesday 10:40AM - 02:40PM, Graham Main Bldg, Room 326 (more)...",Graham Campus
102,Alamance Community College,DEN-101AB-01H (5077) Preclinical Procedures,3,"J. Christopher, B. Patterson","08/25/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
103,Alamance Community College,DEN-101BB-01H (5078) Preclinical Procedures,4,"J. Christopher, B. Patterson","08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
104,Alamance Community College,DEN-102AB-51W (5069) Dental Materials,2,To be Announced,"10/13/2020-12/15/2020 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
105,Alamance Community College,DEN-102AB-52W (5070) Dental Materials,2,"D. Pruitt, K. Hussey","10/13/2020-12/15/2020 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
106,Alamance Community College,DEN-102BB-41H (5079) Dental Materials,2,"B. Patterson, K. Hussey","08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
107,Alamance Community College,DEN-111-51W (5071) Infection/Hazard Control,2,D. Pruitt,"10/16/2020-12/11/2020 Classroom Hours Monday, Friday 08:30AM - 10:30AM, Graham Main Bldg, Room 00301",Graham Campus
108,Alamance Community College,DEN-111-52H (5076) Infection/Hazard Control,2,J. Christopher,"10/13/2020-12/15/2020 Classroom Hours Monday 05:00PM - 07:00PM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
109,Alamance Community College,DEN-112AB-41W (5072) Dental Radiography,1.5,"J. Roberts, K. Hussey","08/17/2020-10/12/2020 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
110,Alamance Community College,DEN-112AB-42W (5386) Dental Radiography,1.5,"J. Roberts, K. Hussey, D. Pruitt","08/17/2020-10/12/2020 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
111,Alamance Community College,DEN-112AB-43W (5387) Dental Radiography,1.5,"J. Roberts, K. Hussey, D. Pruitt","08/17/2020-10/12/2020 Classroom Hours Tuesday 08:30AM - 10:30AM, Graham Main Bldg, Room 00326 (more)...",Graham Campus
112,Alamance Community College,DFT-111-01W (6546) Technical Drafting I,2,J. Bussell,"08/17/2020-12/15/2020 Classroom Hours Monday, Wednesday 08:00AM - 08:30AM, A Wing, Room A211 (more)...",Graham Campus
113,Alamance Community College,DFT-111A-01W (6547) Technical Drafting I Lab,1,J. Bussell,"08/17/2020-12/09/2020 Lab/Shop Hours Monday, Wednesday 10:10AM - 11:35AM, A Wing, Room A211",Graham Campus
114,Alamance Community College,DFT-151-01H (6539) CAD I,3,J. Bussell,"08/17/2020-12/15/2020 Online Class Tuesday, Thursday 12:10PM - 01:05PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
115,Alamance Community College,DFT-151-02NH (6540) CAD I,3,J. Bussell,"08/17/2020-12/15/2020 Online Class Monday, Wednesday 06:30PM - 07:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
116,Alamance Community College,DFT-152-01NH (6541) CAD II,3,J. Bussell,"08/17/2020-12/15/2020 Online Class Monday, Wednesday 06:30PM - 07:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
117,Alamance Community College,DFT-154-01H (6542) Intro Solid Modeling,3,J. Adkins,"08/17/2020-12/15/2020 Online Class Tuesday, Thursday 12:40PM - 01:30PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
118,Alamance Community College,DFT-154-03H (6544) Intro Solid Modeling,3,J. Bussell,"08/17/2020-12/15/2020 Online Class Tuesday, Thursday 06:30PM - 07:25PM, Distance Education/Online, Room ONLNE (more)...",Graham Campus
119,Alamance Community College,DFT-170-01E (6602) Engineering Graphics,3,"D. McCusker, R. Sondles","08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
120,Alamance Community College,DRA-111-01E (4376) Theatre Appreciation,3,T. Notley,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
121,Alamance Community College,ECO-251-04E (4196) Prin of Microeconomics,3,T. Beveridge,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
122,Alamance Community College,ECO-251-06E (6499) Prin of Microeconomics,3,"S. Guney, S. Crofts","08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
123,Alamance Community College,ECO-251-07E (6529) Prin of Microeconomics,3,"S. Guney, S. Crofts","08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
124,Alamance Community College,ECO-252-04E (5919) Prin of Macroeconomics,3,J. Taunton,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
125,Alamance Community College,ECO-252-05E (6530) Prin of Macroeconomics,3,J. Taunton,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
126,Alamance Community College,EDU-119-01H (6344) Intro to Early Child Educ,4,J. Jones,"08/17/2020-12/15/2020 Classroom Hours Tuesday 09:05AM - 11:00AM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
127,Alamance Community College,EDU-119-03E (4674) Intro to Early Child Educ,4,S. Doe,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
128,Alamance Community College,"EDU-131-03E (5268) Child, Family, and Community",3,S. Doe,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
129,Alamance Community College,EDU-144-01H (6345) Child Development I,3,S. Doe,"08/17/2020-12/15/2020 Classroom Hours Wednesday 11:15AM - 12:10PM, Graham Main Bldg, Room 00209 (more)...",Graham Campus
130,Alamance Community College,EDU-144-42E (5270) Child Development I,3,D. Blankenship,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
131,Alamance Community College,EDU-145-51E (4957) Child Development II,3,D. Blankenship,"10/13/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
